ACCT,BUDGET,COST TO DATE,COMMITMENTS,TIPO,REF,GEN_ACCT,Etapa,VARIANCE
2494-063,50000.0,24882.96,0.0,Below the Line,Detalle,,SHOOT,25117.04
2494-066,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2494-067,400000.0,413459.91000000003,0.0,Below the Line,Detalle,,SHOOT,-13459.910000000033
2494-070,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2494-071,214000.0,217013.28,0.0,Below the Line,Detalle,,SHOOT,-3013.279999999999
2494-074,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2494-075,107630.0,107630.0,0.0,Below the Line,Detalle,,ALL SHOW,0.0
2495-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2495-003,225000.0,142099.33,0.0,Below the Line,Detalle,,ALL SHOW,82900.67000000001
2495-006,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2495-007,30000.0,0.0,0.0,Below the Line,Detalle,,PREP,30000.0
2495-010,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2495-011,18900.0,18900.0,0.0,Below the Line,Detalle,,PREP,0.0
2495-012,44100.0,44100.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2495-013,12600.0,21420.0,0.0,Below the Line,Detalle,,WRAP,-8820.0
2495-016,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2495-017,30000.0,25000.0,0.0,Below the Line,Detalle,,ALL SHOW,5000.0
2495-020,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2495-021,5500.0,22950.87,0.0,Below the Line,Detalle,,ALL SHOW,-17450.87
2498-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2498-003,100000.0,125933.85,0.0,Below the Line,Detalle,,ALL SHOW,-25933.850000000006
2501-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2501-003,85000.0,85000.0,0.0,Below the Line,Detalle,,PREP,0.0
2501-004,119000.0,119000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2501-005,34000.0,34000.0,0.0,Below the Line,Detalle,,WRAP,0.0
